STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/15/1970,,33,23
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/16/1970,,36,24
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/17/1970,,40,25
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/18/1970,,43,28
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/19/1970,,48,24
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/20/1970,,34,20
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/21/1970,,34,20
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/22/1970,,58,29
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/23/1970,,45,27
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/24/1970,,54,27
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/25/1970,,55,16
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/26/1970,,28,9
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/27/1970,,41,23
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2/28/1970,,41,28
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/1/1970,,43,25
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/2/1970,,46,33
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/3/1970,,43,34
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/4/1970,,41,36
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/5/1970,,54,37
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/6/1970,,43,34
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/7/1970,,51,30
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/8/1970,,41,25
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/9/1970,,40,22
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/10/1970,,42,21
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/11/1970,,48,30
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/12/1970,,43,32
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/13/1970,,41,34
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/14/1970,,43,31
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/15/1970,,40,26
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/16/1970,,39,26
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/17/1970,,47,27
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/18/1970,,41,34
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/19/1970,,52,34
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/20/1970,,47,33
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/21/1970,,51,36
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/22/1970,,47,36
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/23/1970,,48,38
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/24/1970,,51,35
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/25/1970,,54,37
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/26/1970,,63,44
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/27/1970,,55,41
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/28/1970,,56,35
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/29/1970,,48,27
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/30/1970,,36,22
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",3/31/1970,,39,32
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/1/1970,,48,29
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/2/1970,,62,37
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/3/1970,,53,41
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/4/1970,,55,38
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/5/1970,,50,35
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/6/1970,,48,34
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/7/1970,,59,39
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/8/1970,,69,38
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/9/1970,,78,50
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/10/1970,,56,36
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/11/1970,,51,32
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/12/1970,,61,34
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/13/1970,,61,41
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/14/1970,,50,44
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/15/1970,,64,44
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/16/1970,,63,43
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/17/1970,,60,48
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/18/1970,,63,46
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/19/1970,,61,41
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/20/1970,,50,42
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/21/1970,,49,44
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/22/1970,,70,44
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/23/1970,,55,48
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/24/1970,,61,46
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/25/1970,,73,48
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/26/1970,,79,55
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/27/1970,,69,56
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/28/1970,,78,56
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/29/1970,,73,50
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",4/30/1970,,56,50
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/1/1970,,75,51
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/2/1970,,80,61
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/3/1970,,65,53
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/4/1970,,62,53
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/5/1970,,78,48
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/6/1970,,56,42
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/7/1970,,63,38
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/8/1970,,74,47
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/9/1970,,91,57
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/10/1970,,92,67
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/11/1970,,88,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/12/1970,,84,68
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/13/1970,,86,64
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/14/1970,,74,57
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/15/1970,,67,54
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/16/1970,,60,53
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/17/1970,,65,54
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/18/1970,,68,53
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/19/1970,,70,54
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/20/1970,,86,59
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/21/1970,,76,59
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/22/1970,,86,59
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/23/1970,,80,59
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/24/1970,,65,59
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/25/1970,,59,56
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/26/1970,,76,56
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/27/1970,,69,54
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/28/1970,,73,50
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/29/1970,,70,57
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/30/1970,,65,54
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",5/31/1970,,81,55
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/1/1970,,86,63
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/2/1970,,89,69
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/3/1970,,90,66
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/4/1970,,66,61
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/5/1970,,74,60
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/6/1970,,68,60
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/7/1970,,70,57
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/8/1970,,84,57
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/9/1970,,85,63
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/10/1970,,83,64
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/11/1970,,92,65
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/12/1970,,86,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/13/1970,,78,62
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/14/1970,,73,59
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/15/1970,,72,58
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/16/1970,,70,64
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/17/1970,,80,66
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/18/1970,,87,67
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/19/1970,,86,66
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/20/1970,,75,59
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/21/1970,,68,57
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/22/1970,,74,61
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/23/1970,,83,60
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/24/1970,,84,62
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/25/1970,,84,65
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/26/1970,,75,63
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/27/1970,,76,59
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/28/1970,,78,53
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/29/1970,,84,58
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",6/30/1970,,88,69
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/1/1970,,87,69
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/2/1970,,75,68
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/3/1970,,78,69
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/4/1970,,88,71
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/5/1970,,80,68
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/6/1970,,87,63
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/7/1970,,87,64
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/8/1970,,86,67
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/9/1970,,81,69
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/10/1970,,82,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/11/1970,,86,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/12/1970,,86,67
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/13/1970,,83,66
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/14/1970,,83,68
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/15/1970,,83,71
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/16/1970,,90,71
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/17/1970,,87,66
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/18/1970,,91,69
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/19/1970,,82,71
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/20/1970,,83,71
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/21/1970,,81,66
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/22/1970,,83,67
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/23/1970,,83,71
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/24/1970,,89,71
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/25/1970,,88,74
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/26/1970,,83,74
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/27/1970,,90,72
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/28/1970,,93,73
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/29/1970,,91,73
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/30/1970,,85,71
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",7/31/1970,,81,72
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/1/1970,,89,74
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/2/1970,,92,73
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/3/1970,,89,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/4/1970,,82,69
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/5/1970,,79,66
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/6/1970,,82,65
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/7/1970,,84,67
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/8/1970,,85,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/9/1970,,85,68
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/10/1970,,83,68
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/11/1970,,84,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/12/1970,,90,67
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/13/1970,,93,72
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/14/1970,,90,72
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/15/1970,,92,72
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/16/1970,,93,72
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/17/1970,,87,73
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/18/1970,,85,65
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/19/1970,,84,66
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/20/1970,,84,72
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/21/1970,,84,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/22/1970,,83,65
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/23/1970,,82,69
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/24/1970,,80,63
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/25/1970,,84,64
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/26/1970,,85,67
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/27/1970,,90,68
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/28/1970,,91,71
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/29/1970,,85,73
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/30/1970,,79,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",8/31/1970,,78,64
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/1/1970,,75,55
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/2/1970,,76,53
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/3/1970,,77,64
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/4/1970,,90,72
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/5/1970,,88,68
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/6/1970,,79,61
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/7/1970,,78,61
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/8/1970,,71,64
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/9/1970,,71,65
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/10/1970,,83,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/11/1970,,76,63
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/12/1970,,75,57
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/13/1970,,79,56
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/14/1970,,75,60
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/15/1970,,75,58
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/16/1970,,92,63
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/17/1970,,74,59
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/18/1970,,75,66
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/19/1970,,77,64
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/20/1970,,75,57
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/21/1970,,83,62
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/22/1970,,94,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/23/1970,,94,74
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/24/1970,,89,74
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/25/1970,,91,72
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/26/1970,,88,73
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/27/1970,,78,55
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/28/1970,,66,53
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/29/1970,,61,48
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",9/30/1970,,63,48
